Offence_Category,Year,Offender_Count,Offender_Rate
083 Receive or handle proceeds of crime,2016–17,4387.0,
09 Fraud/deception(k),2016–17,11112.0,
091 Obtain benefit by deception,2016–17,8730.0,
092 Forgery and counterfeiting,2016–17,559.0,
093 Deceptive business/government practices,2016–17,129.0,
099 Other fraud and deception offences,2016–17,1560.0,
10 Illicit drug offences(l),2016–17,81160.0,
102 Deal or traffic in illicit drugs,2016–17,10891.0,
103 Manufacture or cultivate illicit drugs,2016–17,5077.0,
104 Possess and/or use illicit drugs,2016–17,54670.0,
11 Weapons/explosives,2016–17,12117.0,
12 Property damage and environmental pollution,2016–17,16263.0,
13 Public order offences(m),2016–17,61198.0,
131 Disorderly conduct,2016–17,26599.0,
132 Regulated public order offences,2016–17,17807.0,
133 Offensive conduct,2016–17,16794.0,
15 Offences against justice(n)(o),2016–17,26065.0,
153 Breach of violence and non-violence orders,2016–17,13899.0,
156 Offences against justice procedures,2016–17,10073.0,
16 Miscellaneous offences,2016–17,15739.0,
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2016–17,,
01 Homicide and related offences(e),2017–18,683.0,
011 Murder,2017–18,234.0,
012 Attempted Murder,2017–18,138.0,
013 Manslaughter and driving causing death,2017–18,311.0,
02 Acts intended to cause injury(f) ,2017–18,78308.0,
021 Assault,2017–18,72634.0,
029 Other acts intended to cause injury,2017–18,5674.0,
03 Sexual assault and related offences(g),2017–18,8523.0,
031 Sexual assault,2017–18,6016.0,
032 Non–assaultive sexual offences,2017–18,2510.0,
04 Dangerous/negligent acts(h),2017–18,2131.0,
05 Abduction/harassment,2017–18,3953.0,
06 Robbery/extortion,2017–18,3462.0,
07 Unlawful entry with intent,2017–18,12186.0,
08 Theft(i)(j),2017–18,41476.0,
081 Motor vehicle theft,2017–18,4806.0,
082 Theft (except motor vehicles),2017–18,31895.0,
083 Receive or handle proceeds of crime,2017–18,4381.0,
09 Fraud/deception(k),2017–18,12146.0,
091 Obtain benefit by deception,2017–18,8811.0,
092 Forgery and counterfeiting,2017–18,821.0,
093 Deceptive business/government practices,2017–18,87.0,
099 Other fraud and deception offences,2017–18,2330.0,
10 Illicit drug offences(l),2017–18,77784.0,
102 Deal or traffic in illicit drugs,2017–18,10078.0,
103 Manufacture or cultivate illicit drugs,2017–18,5124.0,
104 Possess and/or use illicit drugs,2017–18,52415.0,
11 Weapons/explosives,2017–18,14463.0,
12 Property damage and environmental pollution,2017–18,15732.0,
13 Public order offences(m),2017–18,61237.0,
131 Disorderly conduct,2017–18,27963.0,
132 Regulated public order offences,2017–18,18006.0,
133 Offensive conduct,2017–18,15269.0,
15 Offences against justice(n)(o),2017–18,27037.0,
153 Breach of violence and non-violence orders,2017–18,14406.0,
156 Offences against justice procedures,2017–18,9872.0,
16 Miscellaneous offences,2017–18,16161.0,
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2017–18,,
01 Homicide and related offences(e),2018–19,752.0,
011 Murder,2018–19,321.0,
012 Attempted Murder,2018–19,157.0,
013 Manslaughter and driving causing death,2018–19,272.0,
02 Acts intended to cause injury(f) ,2018–19,78537.0,
021 Assault,2018–19,72384.0,
029 Other acts intended to cause injury,2018–19,6152.0,
03 Sexual assault and related offences(g),2018–19,8619.0,
031 Sexual assault,2018–19,6018.0,
032 Non–assaultive sexual offences,2018–19,2602.0,
04 Dangerous/negligent acts(h),2018–19,2005.0,
05 Abduction/harassment,2018–19,3939.0,
06 Robbery/extortion,2018–19,3753.0,
07 Unlawful entry with intent,2018–19,12244.0,
